Role / Job Title,City,State / Province,Country,Industry,CONFIRM_TIME,LAST_CHANGED
Agile Coach / IT Consultant,Honolulu,HI,USA,,2024-07-08 15:45:17,2025-03-02 10:59:25
Agile Lead,Honolulu,HI,USA,"Fintech & Financial Services, AgTech & Food",2025-08-25 18:18:16,2025-08-25 18:18:16
Ai,,,,,2024-09-08 9:13:37,2025-03-02 20:47:25
AI App Developer,Honolulu,HI,USA,,2024-08-28 19:08:19,2025-03-02 10:59:20
AI Artisan,Honolulu,HI,USA,,2024-03-10 21:23:23,2025-03-02 10:59:29
AI Augmented Cybersecurity Consultant,Kailua,HI,USA,"AI & Machine Learning, Cybersecurity",2025-08-12 11:41:52,2025-08-12 11:41:52
AI Consultant - AI/XR Community Builder (SF & Hawaii),Honolulu,HI,USA,AR/VR & Metaverse,2024-09-09 19:19:10,2025-08-09 14:53:38
AI engineer,Honolulu,HI,USA,Software & Technology,2025-07-05 9:33:26,2025-08-09 14:54:09
AI Enthusiast,Honolulu,HI,USA,Government & Public Sector,2025-08-14 6:05:48,2025-08-14 6:05:48
AI Filmmaker,,HI,USA,Media & Communications,2024-07-11 11:53:34,2025-08-09 14:53:46
AI Product Design,Honolulu,HI,USA,AI & Machine Learning,2024-07-26 14:20:36,2025-09-05 23:26:04
AI Safety Quality Analyst & Trainer,,HI,USA,,2024-08-20 14:26:46,2025-08-09 14:53:49
AI Solopreneur,Mililani Mauka,HI,USA,"AI & Machine Learning, Hardware & IoT, Software & Technology",2025-08-26 1:50:28,2025-08-26 1:50:28
AI/ML Engineer,Honolulu,HI,USA,Aerospace & Defense,2024-09-09 9:40:05,2025-08-09 14:53:33
AI/Software Engineer,Wailuku,HI,USA,Software & Technology,2024-06-16 14:51:10,2025-08-09 14:54:06
AM,,,,Software & Technology,2024-09-10 11:08:25,2025-08-09 14:54:08
AM Reseacher,Ewa Beach,HI,USA,Aerospace & Defense,2025-09-09 14:09:04,2025-09-09 14:09:04
Analyst,,,,Investment & Venture Capital,2024-05-14 9:33:59,2025-08-09 14:53:38
Analyst,Honolulu,HI,USA,,2024-08-02 11:51:16,2025-03-02 10:59:26
Analyst,,,,Energy & Utilities,2024-09-16 14:23:43,2025-03-02 20:47:21
Analyst,Honolulu,HI,USA,Travel & Hospitality,2024-09-16 15:07:01,2025-08-09 14:53:37
Analyst,Honolulu,HI,USA,Travel & Hospitality,2024-09-16 15:17:09,2025-08-09 14:53:37
Analyst,Honolulu,HI,USA,Education & EdTech,2025-07-30 13:23:58,2025-08-09 14:53:58
Analyst,Honolulu,HI,USA,eCommerce & Retail,2025-08-21 20:13:17,2025-08-21 20:13:17
Analyst,Waipahu,HI,USA,"Aerospace & Defense, AI & Machine Learning, Data & Analytics",2025-09-06 12:18:09,2025-09-06 12:18:09
"Analyst, Investments",,,,Investment & Venture Capital,2024-08-12 6:29:29,2025-08-09 14:53:39
Analytics & Reporting,Mililani,HI,USA,"Healthcare & Biotech, AI & Machine Learning",2025-08-28 16:15:44,2025-08-28 16:15:44
Android Developer,Honolulu,HI,USA,Software & Technology,2025-09-07 18:54:40,2025-09-07 18:54:40
Angel Investor,Honolulu,HI,USA,Investment & Venture Capital,2024-07-11 15:34:47,2025-08-09 14:53:39
Angel Investor,Honolulu,HI,USA,"Education & EdTech, Aerospace & Defense",2024-09-12 13:56:26,2025-08-21 8:36:25
Angel Investor Group Founder and President,Honolulu,HI,USA,Investment & Venture Capital,2025-07-09 18:18:52,2025-08-09 14:53:40
Animation Lecturer,Honolulu,,,"Gaming & Entertainment, Education & EdTech, Media & Communications",2025-09-07 19:56:10,2025-09-07 19:56:10
Animator,Honolulu,HI,USA,"Media & Communications, Marketing & AdTech, Other",2025-08-27 7:53:04,2025-08-27 7:53:04
Api Engineer,Seattle,WA,USA,Software & Technology,2024-07-10 12:26:45,2025-08-09 14:53:33
Applied Research Scientist,Honolulu,HI,USA,"AI & Machine Learning, AR/VR & Metaverse, DevTools & Infrastructure",2025-08-14 15:32:32,2025-08-14 15:32:32
Area VP,Honolulu,HI,USA,Healthcare & Biotech,2025-08-31 8:16:42,2025-08-31 8:16:42
Art Director,Honolulu,HI,USA,Fintech & Financial Services,2024-09-12 16:54:33,2025-08-09 14:54:06
Artist,Laie,HI,USA,"Media & Communications, Gaming & Entertainment, eCommerce & Retail",2025-09-02 15:23:28,2025-09-02 15:23:28
Artist,Honolulu,HI,USA,Other,2025-09-06 23:18:51,2025-09-06 23:18:52
Artistic Director,Honolulu,HI,USA,Other,2024-08-22 20:32:17,2025-08-09 14:53:54
Artisy,Honolulu,HI,USA,Other,2025-09-08 15:51:23,2025-09-08 15:51:24
Asia-Pacific Regional Acct Exec,Honolulu,HI,USA,Aerospace & Defense,2024-08-10 19:33:18,2025-08-09 14:53:34
Aspiring Software Engineer,Honolulu,HI,USA,Software & Technology,2025-04-27 15:32:35,2025-08-09 14:53:58
Asset Manager,Honolulu,HI,USA,Investment & Venture Capital,2025-01-06 3:17:38,2025-08-09 14:53:37
Assistant,,,,,2024-07-08 15:00:28,2025-03-02 20:47:24
Assistant Director of Publishing,,HI,USA,Media & Communications,2024-08-05 10:44:24,2025-08-09 14:53:46
Assistant Director/Senior Business Analyst,Honolulu,HI,USA,Healthcare & Biotech,2025-05-01 5:51:11,2025-08-09 14:53:33
Assistant Professor,,,,Education & EdTech,2024-09-13 9:36:45,2025-08-09 14:53:54
Associate,,,,Real Estate & PropTech,2024-08-06 15:25:02,2025-08-09 14:53:56
Associate,Honolulu,HI,USA,Student,2024-09-05 15:02:25,2025-08-09 14:53:35
Associate,New York,NY,USA,Investment & Venture Capital,2024-09-12 9:10:26,2025-08-09 14:53:38
Associate,Honolulu,HI,USA,Consulting & Professional Services,2025-07-24 11:17:55,2025-08-09 14:53:44
Associate Consultant ,Honolulu,HI,USA,Consulting & Professional Services,2025-08-06 7:35:14,2025-08-09 14:53:40
Associate Director - Entrepreneurship Programs Univ. Hawaii Office of Innovation and Commercialization,Honolulu,HI,USA,Education & EdTech,2024-08-06 13:06:18,2025-08-09 14:53:57
Associate Director of Development,Honolulu,HI,USA,Education & EdTech,2024-09-10 19:56:20,2025-08-09 14:53:59
Associate director of development,Honolulu,HI,USA,Non-Profit & Social Impact,2025-09-10 1:41:19,2025-09-10 1:41:19
Associate Director of Education,Honolulu,HI,USA,Education & EdTech,2024-07-31 9:22:57,2025-08-27 16:20:24
Associate Director of Medical Social Media,Honolulu,HI,USA,Healthcare & Biotech,2025-09-08 10:07:05,2025-09-08 10:07:05
Associate Director of Porgrams,Honolulu,,,Non-Profit & Social Impact,2025-02-11 11:01:37,2025-09-08 16:31:11
Associate Professor / Program Chair Business Analytics,Honolulu,HI,USA,Education & EdTech,2024-09-18 11:09:07,2025-08-09 14:53:55
Associate Professor of Engineering,Honolulu,HI,USA,"Education & EdTech, Hardware & IoT, AI & Machine Learning",2025-08-30 9:07:30,2025-08-30 9:07:30
Associate Vice President,Honolulu,,,"Real Estate & PropTech, AEC (Architecture, Eng & Construction), Consulting & Professional Services",2025-09-02 9:28:34,2025-09-02 9:28:34
Associate Vice President of Data Science,,,,Marketing & AdTech,2024-09-05 14:43:48,2025-08-09 14:53:44
"Associate, Zoom Ventures",,,,eCommerce & Retail,2024-09-16 11:02:48,2025-08-09 14:53:50
Asst Chief Test Engineer,Kahaluu,HI,USA,Aerospace & Defense,2025-09-01 8:24:02,2025-09-01 8:24:02
Asst Professor,Honolulu,HI,USA,Healthcare & Biotech,2024-08-28 13:04:50,2025-08-09 14:53:36
Attorney,,,,Consulting & Professional Services,2024-09-05 5:34:11,2025-08-09 14:53:47
Attorney,Honolulu,HI,USA,Consulting & Professional Services,2025-08-14 10:29:23,2025-08-14 10:29:23
Attorney- Team Leader,,HI,USA,Government & Public Sector,2024-08-27 17:20:36,2025-08-09 14:54:07
Audio technician,Honolulu,HI,USA,Gaming & Entertainment,2025-09-07 18:57:07,2025-09-07 18:57:08
Audit Director,Honolulu,HI,USA,Energy & Power,2025-09-12 12:37:07,2025-09-12 12:37:07
Automation and Email Marketing Specialist,,,,Marketing & AdTech,2024-03-20 5:48:33,2025-08-09 14:53:42
Automation and Email Marketing Specialist,,,,Marketing & AdTech,2024-03-20 5:48:33,2025-08-09 14:53:42
AVP and Enterprise Identity & Access Manager,Honolulu,,,"Cybersecurity, Fintech & Financial Services, Software & Technology",2025-08-18 6:50:34,2025-08-18 6:50:34
"AVP, Director of Cybersecurity Risk Management",Honolulu,HI,USA,Cybersecurity,2024-07-12 15:10:47,2025-08-09 14:53:49
AWS Architect,Mililani,HI,USA,"Software & Technology, Consulting & Professional Services, DevTools & Infrastructure",2024-08-28 10:41:23,2025-09-11 10:28:56
AWS Solutions Architect,Honolulu,HI,USA,Software & Technology,2024-08-16 20:22:00,2025-08-09 14:53:32
B2B Content Writer,Honolulu,HI,USA,Marketing & AdTech,2025-06-04 15:57:56,2025-08-09 14:53:42
BB assitant,Honolulu,HI,USA,Telecommunications,2025-09-03 8:14:04,2025-09-03 8:14:04
BCBA,Honolulu,HI,USA,Healthcare & Biotech,2024-07-08 17:53:18,2025-08-19 13:42:56
BDE,Honolulu,HI,USA,AI & Machine Learning,2025-09-01 13:59:01,2025-09-01 13:59:01
Biomedical Engineer,,,,Government & Public Sector,2024-09-17 18:09:14,2025-08-09 14:53:31
Biotech Informatics Executive,San Francisco,CA,USA,Healthcare & Biotech,2024-05-18 13:10:14,2025-08-09 14:53:37
Board,Honolulu,HI,USA,"Government & Public Sector, Education & EdTech, Non-Profit & Social Impact",2025-09-10 22:57:43,2025-09-10 22:57:43
Board Member,Honolulu,HI,USA,Non-Profit & Social Impact,2024-05-07 20:16:43,2025-09-05 9:03:37
Board Member,Honolulu,HI,USA,Non-Profit & Social Impact,2024-05-18 11:37:53,2025-08-09 14:53:49
Board Member,,HI,USA,AgTech & Food,2024-07-21 17:22:30,2025-08-09 14:53:35
Board Member,Honolulu,HI,USA,Non-Profit & Social Impact,2024-08-10 18:27:44,2025-08-09 14:53:48
Board Member,Honolulu,HI,USA,"Media & Communications, Education & EdTech",2025-08-22 12:41:18,2025-08-22 12:41:19
Board of Advisors,Honolulu,HI,USA,AI & Machine Learning,2025-09-01 0:47:30,2025-09-01 0:47:30
Boards & Commissions Liaison,Maui,HI,USA,Government & Public Sector,2025-08-05 17:21:00,2025-08-24 11:23:50
Boilermaker,Central City,PA,USA,Other,2025-09-06 21:21:55,2025-09-06 21:21:55
Bookkeeper/Tax preparer,Honolulu,HI,USA,Fintech & Financial Services,2024-07-22 11:25:43,2025-08-09 14:54:05
Bookkeeping firm owner,Honolulu,HI,USA,Fintech & Financial Services,2025-06-23 19:29:43,2025-08-09 14:54:05
Branch Head,San Francisco,CA,USA,Aerospace & Defense,2025-02-23 17:20:30,2025-08-09 14:53:32
Branch Head,,CA,USA,Aerospace & Defense,2025-02-23 17:20:55,2025-08-09 14:53:31
Branch Manager/ Loan Officer,,,,Fintech & Financial Services,2024-08-24 16:08:32,2025-08-09 14:54:06
Brand & SEO Consultant,Honolulu,HI,USA,Marketing & AdTech,2024-09-06 0:02:57,2025-08-09 14:53:43
Brand Manager,Honolulu,HI,USA,Consulting & Professional Services,2024-05-28 10:59:58,2025-08-09 14:53:47
Brand strategist,Honolulu,HI,USA,Other,2025-02-20 11:44:10,2025-08-09 14:53:51
"Branding, Investor",,,,Software & Technology,2024-09-03 8:22:19,2025-08-09 14:54:04
Broadband Coordinator,Kapolei,HI,USA,Telecommunications,2025-08-25 11:28:40,2025-08-25 11:28:41
Broadband Program Specialist,Mililani,HI,USA,Telecommunications,2025-08-20 9:18:30,2025-08-20 9:18:31
Budget,Honolulu,HI,USA,Investment & Venture Capital,2025-07-18 9:58:07,2025-08-09 14:53:40
Budget Director,Honolulu,HI,USA,Education & EdTech,2024-09-11 10:48:02,2025-08-09 14:53:54
Builder,Kailua,HI,USA,"AI & Machine Learning, DevTools & Infrastructure, SaaS & Cloud",2024-05-07 11:41:02,2025-09-09 9:51:32
Business Advisor/Entrepreneur,Honolulu,HI,USA,Consulting & Professional Services,2025-06-30 17:07:10,2025-08-09 14:53:40
Business Analyst,Honolulu,HI,USA,Healthcare & Biotech,2024-06-17 15:37:54,2025-08-09 14:53:33
Business Analyst,Honolulu,HI,USA,Software & Technology,2024-08-01 15:19:40,2025-08-09 14:54:05
business analyst,Honolulu,HI,USA,Travel & Hospitality,2024-09-12 14:02:09,2025-08-09 14:53:37
Business Analyst,Honolulu,HI,USA,Healthcare & Biotech,2024-09-12 21:42:45,2025-08-09 14:53:33
Business Analyst Intern,,,,Healthcare & Biotech,2024-09-12 17:44:27,2025-08-09 14:53:34
Business Automation Consultant,Honolulu,HI,USA,Software & Technology,2024-08-27 20:31:49,2025-08-09 14:54:11
Business Coach/Fractional Integrator (COO),Honolulu,HI,USA,Other,2024-07-13 8:17:55,2025-08-09 14:53:52
Business Consultant,Honolulu,HI,USA,,2024-08-07 11:09:53,2025-03-02 10:59:25
Business Designer,Kailua,HI,USA,"Consulting & Professional Services, Healthcare & Biotech",2025-09-09 18:34:57,2025-09-09 18:34:58
Business Development,,,,Consulting & Professional Services,2024-07-22 5:13:04,2025-08-09 14:53:41
Business Development,Honolulu,HI,USA,Aerospace & Defense,2025-08-08 15:18:25,2025-08-09 14:53:33
Business Development,Honolulu,HI,USA,Other,2025-08-11 13:44:45,2025-08-24 11:21:28
Business Development ,Honolulu,HI,USA,Software & Technology,2024-07-24 8:58:30,2025-08-09 14:53:58
Business Development ,Missouri,MO,USA,Education & EdTech,2025-06-13 16:06:07,2025-08-09 14:53:58
Business Development & Strategic Partnerships Manager,Honolulu,HI,USA,Other,2024-08-05 11:15:31,2025-03-02 10:59:20
Business Development Consultant,,HI,USA,Consulting & Professional Services,2024-05-22 10:57:06,2025-08-09 14:53:43
Business Development Manager,Honolulu,HI,USA,Software & Technology,2024-09-09 10:30:28,2025-08-27 11:21:21
Business Development Manager,Honolulu,HI,USA,Software & Technology,2024-09-16 10:15:22,2025-08-09 14:53:32
Business Development Manager,Honolulu,HI,USA,Cybersecurity,2025-08-08 10:51:51,2025-08-09 14:53:48
Business Development Manager,Honolulu,,,"Cybersecurity, Software & Technology, Consulting & Professional Services",2025-08-22 12:52:45,2025-08-22 12:52:46
Business Development Representative,Honolulu,HI,USA,Cybersecurity,2024-07-29 16:28:40,2025-09-07 20:54:06
Business Development- Video Games,,,,Software & Technology,2024-09-20 13:14:22,2025-08-09 14:54:04
"Business Development, Customer Engagement",Honolulu,HI,USA,Aerospace & Defense,2024-07-13 11:16:59,2025-08-09 14:53:33
Business Intern,,,,,2024-08-07 9:13:00,2025-03-02 20:47:29
Business Operations Coordinator,Honolulu,HI,USA,Healthcare & Biotech,2024-09-10 19:59:26,2025-08-09 14:53:32
Business Recruiter,San Francisco,,,Education & EdTech,2025-07-30 12:23:19,2025-08-09 14:53:52
Business Strategist,Honolulu,HI,USA,"Software & Technology, AI & Machine Learning, SaaS & Cloud",2025-08-26 10:47:18,2025-08-26 10:47:18
Business Strategy Analyst,Orange County,CA,USA,Fintech & Financial Services,2025-07-25 8:11:59,2025-08-09 14:54:04
Business Systems Analyst,,HI,USA,,2024-08-28 12:16:25,2025-08-09 14:53:38
Business Systems Analyst,,CA,USA,eCommerce & Retail,2024-08-31 11:35:21,2025-08-09 14:53:51
Business systems analyst,Honolulu,HI,USA,,2024-09-15 12:20:35,2025-03-02 10:59:23
Business Systems Manager,,,,Software & Technology,2024-07-09 7:44:57,2025-08-09 14:53:33
Capital Markets Lead,Raleigh,NC,USA,"Fintech & Financial Services, Software & Technology",2025-09-09 5:07:37,2025-09-09 5:07:37
Carbon Advisor,San Francisco,CA,USA,Energy & Climate Tech,2024-07-08 13:49:27,2025-08-09 14:54:01
Cardiologist,Honolulu,,,Healthcare & Biotech,2025-09-07 19:43:16,2025-09-07 19:43:16
Career Counselor,Honolulu,HI,USA,Education & EdTech,2025-08-18 11:08:33,2025-08-18 11:08:33
Career Transition Specialist ,Honolulu,HI,USA,Non-Profit & Social Impact,2025-04-03 14:47:24,2025-08-09 14:53:46
Category Manager,Honolulu,,,"Travel & Hospitality, Software & Technology",2025-09-09 11:40:44,2025-09-09 11:40:44
CATIO,Honolulu,HI,USA,Education & EdTech,2025-09-05 2:52:56,2025-09-05 2:52:56
CBO,San Jose,CA,USA,"AI & Machine Learning, Healthcare & Biotech",2025-08-10 14:51:34,2025-08-10 14:51:34
CEIO ,Honolulu,HI,USA,Healthcare & Biotech,2025-01-06 3:17:41,2025-08-09 14:53:36
CEO,Honolulu,HI,USA,Non-Profit & Social Impact,2024-03-11 20:51:23,2025-08-09 14:53:49
CEO,Maui,HI,USA,Healthcare & Biotech,2024-04-06 22:00:20,2025-08-09 14:53:33
CEO,Honolulu,HI,USA,eCommerce & Retail,2024-05-14 14:19:29,2025-08-09 14:53:51
CEO,Atlanta,GA,USA,Software & Technology,2024-05-23 19:53:11,2025-08-09 14:54:10
CEO,Honolulu,HI,USA,Media & Communications,2024-06-14 11:31:00,2025-08-09 14:53:44
CEO,Maui,HI,USA,Consulting & Professional Services,2024-07-29 12:48:37,2025-08-12 17:56:13
CEO,DC,D.C.,USA,AI & Machine Learning,2024-08-01 3:30:29,2025-09-01 23:29:22
CEO,Honolulu,HI,USA,Software & Technology,2024-08-02 11:24:04,2025-08-09 14:53:32
Ceo,Honolulu,HI,USA,Software & Technology,2024-08-03 16:58:08,2025-08-09 14:54:09
CEO,,HI,USA,Travel & Hospitality,2024-08-07 21:20:13,2025-08-09 14:53:38
CEO,Hilo,,,AgTech & Food,2024-08-08 11:29:13,2025-08-09 14:53:34
CEO,Sao Paulo,SP,Brazil,Software & Technology,2024-08-12 12:23:41,2025-08-09 14:53:34
CEO,Honolulu,HI,USA,Other,2024-08-19 19:39:31,2025-08-10 22:44:38
CEO,Honolulu,HI,USA,Software & Technology,2024-08-20 12:54:52,2025-08-09 14:53:33
CEO,Honolulu,HI,USA,Healthcare & Biotech,2024-08-20 17:44:56,2025-08-09 14:53:37
CEO,Honolulu,HI,USA,Fintech & Financial Services,2024-08-21 19:24:52,2025-08-09 14:54:05
CEO,Honolulu,HI,USA,Education & EdTech,2024-08-21 19:26:24,2025-08-09 14:54:00
CEO,,HI,USA,AgTech & Food,2024-08-28 17:29:36,2025-08-09 14:53:35
CEO,Honolulu,HI,USA,"Marketing & AdTech, Real Estate & PropTech, Media & Communications",2024-08-29 14:18:52,2025-09-10 1:31:31
CEO,Honolulu,HI,USA,,2024-08-29 21:22:42,2025-03-02 10:59:26
CEO,,,,Ocean & Marine Tech,2024-09-03 12:05:15,2025-08-09 14:53:51
CEO,SF,,,AI & Machine Learning,2024-09-05 14:49:46,2025-08-09 14:53:36
CEO,Las Vegas,NV,USA,Gaming & Entertainment,2024-09-05 15:22:10,2025-08-09 14:54:07
CEO,San Francisco,CA,USA,Software & Technology,2024-09-05 16:54:32,2025-08-09 14:54:04
CEO,Honolulu,HI,USA,Investment & Venture Capital,2024-09-06 17:24:31,2025-08-09 14:53:40
CEO,Honolulu,HI,USA,Software & Technology,2024-09-07 20:15:37,2025-08-09 14:53:34
CEO,,,,Software & Technology,2024-09-09 7:39:04,2025-08-09 14:53:33
CEO,Honolulu,HI,USA,Media & Communications,2024-09-09 12:43:35,2025-08-09 14:53:45
CEO,Honolulu,HI,USA,,2024-09-10 22:20:36,2025-03-02 10:59:27
CEO,,HI,USA,,2024-09-12 13:41:06,2025-08-09 14:53:40
CEO,,HI,USA,,2024-09-12 19:31:35,2025-08-09 14:53:46
CEO,Irvine,CA,USA,Healthcare & Biotech,2024-09-13 8:12:19,2025-08-09 14:53:37
CEO,Honolulu,HI,USA,Media & Communications,2024-09-13 14:45:11,2025-08-09 14:53:46
CEO,Honolulu,HI,USA,Travel & Hospitality,2024-09-15 17:22:26,2025-08-09 14:53:37
CEO,Honolulu,HI,USA,Consulting & Professional Services,2024-09-16 11:28:26,2025-08-09 14:53:45
ceo,Honolulu,HI,USA,Marketing & AdTech,2024-09-17 14:51:20,2025-08-09 14:53:43
CEO,Honolulu,HI,USA,Healthcare & Biotech,2024-09-18 10:15:48,2025-09-10 6:47:14
CEO,Honolulu,HI,USA,,2024-09-20 10:45:00,2025-03-02 10:59:19
CEO,Honolulu,,,"Data & Analytics, DevTools & Infrastructure, Software & Technology",2025-01-06 3:17:41,2025-08-25 14:35:08
CEO,Honolulu,HI,USA,AgTech & Food,2025-01-06 3:17:50,2025-08-09 14:53:35
CEO,Waianae,HI,USA,Aerospace & Defense,2025-01-06 3:17:50,2025-09-05 12:00:32
CEO,San Francisco,CA,USA,Investment & Venture Capital,2025-01-06 3:17:55,2025-08-09 14:53:40
CEO,Honolulu,HI,USA,Software & Technology,2025-01-06 3:17:55,2025-08-09 14:54:04
CEO,Honolulu,HI,USA,"AI & Machine Learning, Climate Tech & Sustainability, Government & Public Sector",2025-01-06 3:17:58,2025-09-01 12:05:33
CEO,Honolulu,HI,USA,Consulting & Professional Services,2025-01-06 3:18:00,2025-08-09 14:53:42
CEO,Kaneohe,HI,USA,"Ocean & Marine Tech, Energy & Power, Aerospace & Defense",2025-01-06 3:18:00,2025-08-20 13:23:22
Ceo,,,,Manufacturing & Industrial,2025-01-16 7:07:29,2025-08-09 14:53:41
CEO,Indianapolis,IN,USA,"AEC (Architecture, Eng & Construction)",2025-02-19 14:49:28,2025-09-12 14:29:59
CEO,Honolulu,HI,USA,Software & Technology,2025-04-25 11:11:37,2025-08-09 14:54:00
CEO,Honolulu,HI,USA,Software & Technology,2025-05-14 20:29:26,2025-08-09 14:54:01
CEO,Seattle,WA,USA,"Software & Technology, Travel & Hospitality, Fintech & Financial Services",2025-05-26 9:21:27,2025-08-21 13:41:25
CEO,Atlanta,GA,USA,Real Estate & PropTech,2025-06-12 15:44:14,2025-08-09 14:53:55
CEO,,WA,USA,Healthcare & Biotech,2025-06-27 8:08:14,2025-08-09 14:53:36
Ceo,Honolulu,HI,USA,Software & Technology,2025-07-02 9:01:01,2025-08-09 14:53:57
CEO,Big Island,HI,USA,Consulting & Professional Services,2025-07-02 18:16:17,2025-08-09 14:53:40
